actual_arrival_delay_min,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,delayed,hour,scheduled_travel_time_min,transport_type_Metro,transport_type_Train,transport_type_Tram,weather_condition_Cloudy,weather_condition_Fog,weather_condition_Rain,weather_condition_Snow,weather_condition_Storm,event_type_Festival,event_type_No events,event_type_Parade,event_type_Protest,event_type_Sports,season_Spring,season_Summer,season_Winter
25,27.1,58,27,6.1,0,84,0,0,6,1,9,55.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
6,32.9,95,12,0.7,2000,35,0,1,6,1,9,39.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
17,-3.7,93,28,3.0,0,57,0,0,6,1,9,17.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
12,-3.2,57,7,14.0,0,19,0,0,6,1,10,34.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,8.8,65,10,7.3,0,15,0,0,6,1,10,20.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,-1.5,35,46,9.0,0,91,0,0,6,1,10,38.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
14,14.2,40,44,3.1,500,55,0,1,6,1,10,26.0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
12,24.1,67,17,13.6,0,92,0,0,6,1,11,38.0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
-3,17.7,63,49,15.0,0,49,0,0,6,0,11,51.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
-2,2.9,96,24,3.6,0,89,1,0,6,0,11,52.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
11,21.2,75,48,0.9,10000,65,0,0,6,1,11,49.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
24,22.4,58,21,1.6,50000,73,0,0,6,1,12,54.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
-3,32.3,89,44,13.1,0,12,0,1,6,0,12,28.0,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0.9,83,34,2.7,0,14,0,0,6,0,12,37.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
18,22.7,98,28,9.9,0,72,0,1,6,1,12,18.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
9,31.5,38,20,3.1,0,26,0,0,6,1,13,32.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
-3,15.1,39,55,3.4,2000,7,0,1,6,0,13,19.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
12,9.5,97,6,0.1,0,69,0,0,6,1,13,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
18,1.8,87,11,6.4,0,99,0,0,6,1,13,32.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
28,29.7,81,35,1.8,0,49,0,1,6,1,14,30.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
12,10.8,63,23,7.9,50000,87,0,0,6,1,14,47.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11,32.0,64,31,12.0,10000,66,0,0,6,1,14,46.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
8,28.9,62,26,7.4,2000,25,0,1,6,1,14,41.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
-3,10.1,61,31,14.1,0,35,0,0,6,0,15,33.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
13,18.0,84,58,14.8,0,20,0,0,6,1,15,52.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
24,-3.9,37,31,13.9,10000,76,0,1,6,1,15,29.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
3,5.5,75,31,18.7,0,51,0,1,6,0,15,30.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5,23.4,43,25,4.7,500,10,0,1,6,0,16,26.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
18,22.1,37,10,3.8,0,7,0,0,6,1,16,46.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
22,9.1,83,45,12.2,0,56,0,0,6,1,16,50.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
8,27.3,50,17,11.9,0,45,0,1,6,1,16,54.0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
3,4.4,43,38,10.2,10000,77,0,0,6,0,17,49.0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
11,13.5,31,4,0.1,0,96,0,1,6,1,17,36.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
17,13.9,90,15,11.1,2000,1,0,0,6,1,17,26.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
10,8.6,46,10,18.7,10000,63,0,0,6,1,17,27.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
-2,33.2,77,53,6.7,50000,51,0,0,6,0,18,25.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
4,22.9,37,34,19.4,0,64,0,1,6,0,18,39.0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
2,16.6,85,47,7.1,0,10,0,0,6,0,18,31.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
29,15.4,46,10,2.8,50000,5,0,1,6,1,18,24.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2,1.4,98,41,8.0,0,95,0,1,6,0,19,22.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
22,9.9,41,22,9.9,0,78,0,1,6,1,19,49.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
10,21.9,67,54,12.6,0,75,0,1,6,1,19,48.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4,32.0,47,33,10.1,0,63,0,1,6,0,19,36.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
9,27.7,55,47,10.7,0,92,0,1,6,1,20,27.0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
9,7.0,66,16,0.5,500,54,0,0,6,1,20,38.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
24,12.4,99,9,5.1,500,43,0,0,6,1,20,28.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
14,-1.7,70,17,6.2,0,85,0,0,6,1,20,19.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
15,-0.9,71,43,19.7,10000,13,1,0,6,1,21,54.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
28,13.8,70,7,5.9,0,82,0,0,6,1,21,19.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
18,16.2,76,58,17.9,0,4,0,0,6,1,21,23.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-2,5.6,43,25,6.1,50000,98,0,1,6,0,21,52.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
9,20.7,30,2,1.9,0,24,0,0,6,1,22,43.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
19,23.1,46,58,5.0,2000,49,0,0,6,1,22,22.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False
21,7.0,84,51,5.5,0,72,0,1,6,1,22,24.0,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
24,25.3,82,23,19.6,2000,70,0,0,6,1,22,39.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7,3.2,60,2,13.5,0,81,0,0,6,1,23,39.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
29,16.8,91,37,18.6,0,1,0,1,6,1,23,28.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
20,27.2,37,1,16.7,0,9,0,0,6,1,23,26.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-2,16.5,59,34,11.6,0,1,0,0,6,0,23,51.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
26,31.3,95,16,13.5,0,59,0,0,0,1,0,29.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
13,-2.7,74,8,12.5,10000,44,0,0,0,1,0,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
18,18.5,47,35,13.3,0,7,0,1,0,1,0,41.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1,17.5,74,21,5.3,10000,57,0,0,0,0,0,24.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
12,21.4,48,30,8.2,0,6,0,1,0,1,1,18.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
9,28.3,97,54,11.9,0,98,0,0,0,1,1,49.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
22,24.0,79,33,0.7,50000,86,0,0,0,1,1,18.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
27,26.6,54,23,9.7,50000,71,0,1,0,1,1,47.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
19,6.6,67,59,17.2,0,20,1,1,0,1,2,32.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
8,10.5,65,8,9.8,10000,96,0,0,0,1,2,28.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
10,20.1,97,45,11.0,0,46,0,0,0,1,2,19.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
14,17.1,85,57,4.0,0,0,0,1,0,1,2,23.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
23,33.4,68,42,15.9,0,11,0,0,0,1,3,29.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
24,2.5,92,1,7.2,50000,74,0,0,0,1,3,31.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
14,9.1,36,20,19.1,50000,47,1,1,0,1,3,23.0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
12,17.9,87,33,19.9,0,93,0,0,0,1,3,25.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
12,29.7,88,26,18.3,2000,3,0,0,0,1,4,24.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
9,32.2,77,36,1.7,10000,33,0,0,0,1,4,37.0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
25,8.4,34,6,6.7,0,86,0,1,0,1,4,53.0,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
5,-2.3,65,21,18.9,500,31,0,0,0,0,4,26.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
22,11.9,54,3,16.1,0,2,0,1,0,1,5,37.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
24,10.8,74,13,18.2,0,91,0,0,0,1,5,35.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
9,34.5,48,33,11.5,2000,67,0,0,0,1,5,39.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
5,12.2,36,22,9.6,0,56,0,0,0,0,5,34.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
10,7.2,87,43,2.1,0,75,0,0,0,1,6,26.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
8,9.6,95,41,16.8,0,23,0,0,0,1,6,50.0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
28,10.9,68,24,14.9,2000,32,0,0,0,1,6,42.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
-1,27.9,47,0,1.2,0,2,0,1,0,0,6,47.0,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
12,-1.8,30,50,4.2,0,3,0,1,0,1,7,24.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
16,7.7,92,54,11.1,500,29,0,0,0,1,7,47.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
28,33.7,32,47,13.7,0,69,0,1,0,1,7,23.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
19,1.1,50,14,2.8,10000,48,0,0,0,1,7,22.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
13,24.7,59,31,4.9,0,29,0,0,0,1,8,29.0,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
12,9.3,40,13,3.9,0,71,0,0,0,1,8,20.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
4,18.3,51,40,4.4,0,81,0,0,0,0,8,43.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
15,-1.0,86,20,18.4,0,15,0,0,0,1,8,57.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
26,7.3,32,54,14.3,50000,52,0,0,0,1,9,35.0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
10,15.0,59,46,14.7,0,5,0,0,0,1,9,34.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
18,4.3,74,57,15.9,2000,23,0,0,0,1,9,24.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
13,16.7,65,6,7.1,0,91,0,1,0,1,9,47.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
11,3.8,93,35,15.3,500,95,0,1,0,1,10,30.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
28,21.0,83,20,19.6,50000,88,1,0,0,1,10,31.0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9,31.2,97,49,14.0,0,27,0,1,0,1,10,45.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
17,-1.6,79,39,8.3,0,20,0,0,0,1,10,43.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
29,3.7,60,11,14.3,50000,7,0,1,0,1,11,58.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
23,28.8,58,14,18.0,2000,35,0,0,0,1,11,29.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
12,20.3,88,14,2.6,0,8,0,0,0,1,11,24.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
24,-1.9,65,16,5.3,0,39,0,0,0,1,11,42.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False
-3,14.5,96,33,18.4,0,84,0,0,0,0,12,39.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
27,3.4,40,43,18.9,10000,50,0,0,0,1,12,40.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
29,3.0,40,34,9.7,500,0,1,0,0,1,12,38.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
29,32.6,55,38,7.5,50000,62,0,0,0,1,12,47.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
14,25.5,82,37,5.7,0,67,0,0,0,1,13,45.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
19,22.8,43,13,10.0,0,73,0,1,0,1,13,51.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
19,4.6,93,54,18.7,0,25,0,0,0,1,13,38.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
11,-0.3,39,58,3.0,0,39,0,1,0,1,13,32.0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
22,29.8,60,4,8.4,0,2,0,0,0,1,14,44.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
26,-4.8,65,29,18.2,0,8,0,0,0,1,14,21.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
21,10.5,39,3,7.0,10000,31,0,0,0,1,14,17.0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
12,6.1,55,14,15.4,0,66,0,1,0,1,14,34.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
10,17.8,49,38,7.8,0,3,0,0,0,1,15,28.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
13,5.0,73,34,16.1,50000,5,0,0,0,1,15,44.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
8,7.4,91,44,19.6,50000,72,0,0,0,1,15,28.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
25,29.0,38,9,7.8,0,25,0,0,0,1,15,52.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
28,19.1,53,54,16.9,50000,1,0,0,0,1,16,30.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
20,0.8,41,1,19.8,0,65,0,0,0,1,16,47.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9,24.1,89,43,19.7,0,84,0,1,0,1,16,39.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
16,3.3,45,59,8.7,10000,85,0,1,0,1,16,51.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
11,12.3,58,23,9.7,2000,2,1,1,0,1,17,49.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,20.9,61,27,6.1,10000,34,0,0,0,0,17,27.0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
24,5.9,64,21,6.3,10000,58,0,0,0,1,17,17.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
-2,10.4,72,43,9.8,0,37,0,0,0,0,17,55.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
26,24.4,82,31,4.0,0,32,0,1,0,1,18,51.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
22,32.5,49,30,14.2,0,14,1,0,0,1,18,56.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
22,16.2,37,18,10.7,0,74,0,0,0,1,18,46.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
16,-4.6,71,50,18.0,0,73,0,1,0,1,18,53.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
24,8.5,99,20,16.2,0,99,0,0,0,1,19,19.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
16,10.9,45,2,6.4,10000,13,0,0,0,1,19,29.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
7,8.6,98,5,10.1,10000,65,0,0,0,1,19,23.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6,12.5,82,31,15.0,500,44,0,0,0,1,19,53.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
19,20.3,74,1,3.9,0,47,0,1,0,1,20,27.0,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
15,-0.2,80,23,0.6,2000,43,0,0,0,1,20,26.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
14,5.9,35,44,17.0,500,36,1,0,0,1,20,30.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
23,15.3,62,58,2.8,50000,28,0,0,0,1,20,54.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2,7.6,44,59,17.8,0,98,0,0,0,0,21,28.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
6,34.6,43,26,18.3,0,83,0,0,0,1,21,36.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
-2,12.3,68,8,9.2,50000,84,0,0,0,0,21,32.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20,29.8,92,12,16.1,50000,33,0,0,0,1,21,50.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24,30.9,34,54,7.3,0,58,0,0,0,1,22,17.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
24,28.4,81,13,17.2,0,42,0,1,0,1,22,29.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
-2,-3.1,45,50,16.5,10000,32,0,0,0,0,22,22.0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,32.9,67,10,1.6,0,18,0,1,0,0,22,44.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False
7,0.1,82,13,11.7,2000,7,1,0,0,1,23,35.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
6,-3.6,82,15,12.8,0,30,0,0,0,1,23,39.0,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
-2,11.6,75,9,0.0,0,10,1,1,0,0,23,33.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
11,2.8,44,19,19.6,0,7,1,0,0,1,23,49.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
3,2.4,88,15,8.1,0,24,1,0,1,0,0,48.0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
16,6.5,79,59,10.3,0,19,0,0,1,1,0,58.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
18,4.9,38,57,3.9,0,37,0,0,1,1,0,33.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
27,22.4,55,33,12.2,0,6,1,0,1,1,0,47.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
19,2.5,32,56,16.2,0,76,0,0,1,1,1,44.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
15,16.7,76,15,11.7,0,38,0,0,1,1,1,36.0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0,34.5,34,13,15.8,0,73,0,0,1,0,1,27.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
20,12.3,91,52,14.6,50000,71,0,1,1,1,1,43.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
16,20.7,34,27,4.8,0,19,0,0,1,1,2,23.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
24,33.8,39,17,8.7,0,80,0,0,1,1,2,47.0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False
13,0.5,92,25,3.0,0,10,0,0,1,1,2,19.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,11.7,54,37,0.8,10000,15,0,0,1,1,2,19.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
28,29.0,73,6,1.3,0,41,0,0,1,1,3,37.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
26,32.3,54,44,18.8,0,95,0,0,1,1,3,35.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,19.0,59,33,19.7,0,89,0,0,1,1,3,51.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
25,0.7,43,46,1.9,2000,51,0,1,1,1,3,34.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2,31.1,72,48,6.7,2000,36,0,1,1,0,4,29.0,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True
13,2.0,57,44,2.3,0,51,0,0,1,1,4,24.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13,9.1,48,6,16.7,0,8,0,1,1,1,4,49.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
10,10.0,71,32,9.9,0,34,0,1,1,1,4,40.0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
20,12.9,49,34,12.4,0,66,0,0,1,1,5,31.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,26.6,40,51,10.8,2000,94,0,1,1,1,5,52.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
10,27.1,83,49,14.2,0,6,0,0,1,1,5,50.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
23,23.8,53,38,6.4,0,1,1,0,1,1,5,28.0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
15,-4.1,99,20,2.7,0,24,0,0,1,1,6,37.0,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
27,17.6,46,48,0.4,500,75,0,1,1,1,6,53.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
5,24.9,57,27,8.9,500,93,0,0,1,0,6,29.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
13,12.8,79,31,18.2,50000,93,0,0,1,1,6,25.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
15,32.8,84,43,6.1,0,92,1,0,1,1,7,20.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
0,28.0,39,15,3.9,0,40,0,0,1,0,7,46.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
7,20.5,50,55,18.5,0,74,0,0,1,1,7,59.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
18,-2.5,87,9,2.1,0,51,0,1,1,1,7,55.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
0,21.1,63,22,1.0,0,86,0,0,1,0,8,48.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
13,31.5,72,47,17.6,0,80,0,0,1,1,8,43.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,10.2,40,51,14.0,0,76,0,1,1,0,8,38.0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
7,28.5,62,49,8.4,50000,96,0,0,1,1,8,39.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
27,7.5,87,14,15.0,500,64,0,0,1,1,9,19.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
7,17.8,75,54,14.8,0,76,0,0,1,1,9,29.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
